//type,X,Y,Xsize,Ysize,Red,Green,Blue


Block,190,300,200,50,20,255,20
Block,190,350,200,100,190,190,100

Block,390,200,200,50,20,255,20
Block,390,250,200,200,190,190,100


Block,0,200,190,50,20,255,20
Block,0,250,190,200,190,190,100


Block,-1000,-500,1000,2000,0,0,0


Block,390,700,200,50,20,255,20
Block,390,750,200,100,190,190,100


Block,590,600,5000,50,20,255,20
Block,590,650,5000,200,190,190,100


Block,200,800,190,40,20,255,20
Block,200,840,190,100,190,190,100

//stairs
Block,590,500,100,20,20,255,20
Block,590,520,100,20,190,190,100

Block,590,380,100,20,20,255,20
Block,590,400,100,20,190,190,100

Block,590,260,100,20,20,255,20
Block,590,280,100,20,190,190,100



Block,0,1050,400,50,20,255,20
Block,0,1101,400,100,190,190,100

Block,450,1100,60,20,20,255,20
Block,450,1101,60,50,190,190,100



